Sample_ID,Notes,air-dry,oven-dry,pH,respiration,make air-dry bag,measure moisture,measure pH,measure respiration
DSC_107,,yes,yes,yes,yes,1,1,1,1
DSC_108,,yes,yes,yes,yes,1,1,1,1
DSC_109,,yes,yes,yes,yes,1,1,1,1
DSC_110,,yes,yes,yes,yes,1,1,1,1
DSC_111,,yes,yes,yes,yes,1,1,1,1
DSC_112,,yes,yes,yes,yes,1,1,1,1
DSC_126,,yes,yes,yes,yes,1,1,1,1
DSC_127,,yes,yes,yes,yes,1,1,1,1
DSC_128,,yes,yes,yes,yes,1,1,1,1
DSC_129,,yes,yes,yes,yes,1,1,1,1
DSC_130,,yes,yes,yes,yes,1,1,1,1
DSC_131,,yes,yes,yes,yes,1,1,1,1
DSC_132,,yes,yes,yes,yes,1,1,1,1
DSC_133,,yes,yes,yes,yes,1,1,1,1
,,,,,,AIRDRY,OVENDRY,pH,RESPIRATION
,,,,,,93,93,100,93
,,,,,,,,,223.2
