Sample_ID,Sampling_date,Scribe_initials,Siever_1_initials,Siever_2_initials,Equip_mgr_initials,Lroot_empty_mass_g,rock_empty_mass_g,empty_sieve_mass_g,subsampling_start_time,total_wet_mass_w_sieve_g,all_ROOTS_freeze_time,RNA_A_freeze_time,RNA_B_and_C_freeze_time,S_DNA_mass_g,RESP_IS_mass_g,S_FM_mass_g,everything_cool_time,Lroot_full_mass_g,rock_full_mass_g,notes_during_collection_annotations,notes_during_transcription_AG,notes_during_transcription_EF,notes_during_collection_narritive,sieve_date,Lroot_photo_by,rock_photo_by,sieving_start_time,sieving_end_time,S_pH_mass_g,small_tin_mass_full_g,small_tin_mass_empty_g,large_tin_mass_full_g,all_set_to_dry_time,Animal_burrow_(Y/N),pre_trim_photo_by,post_trim_photo_by,removed_soil_mass_g,tube_length_cm,other_info_on_sample_tube (if present),Site,Core_ID,fraction,microsite,tnt,sample_bottom_depth,empty_tin_mass_g,field_moist_plus_tin_mass_g,air_dry_plus_tin_mass_g,oven_dry_plus_tin_mass_g,od_notes,FM_mass_g,AD_mass_g,OD_mass_g,AD_Factor,OD_Factor,diff,FM_moisture_percent,AD_moisture_percent,notes,Date.Measured,approx_soil_mass_g,CaCl2_mL,pH_1st_measurement,pH_2nd_measurement
DSC_012,20260616,MK+AG,VF,MK,AG+MK,23.45,22.42,821,12:15,994,12:31,12:34,12:34,26,45,102,12:30,23.82,22.43,NA,NA,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-F,0-15_cm,S2,tree,15,2.93,8,7.89,7.74,NA,5.07,4.959999999999999,4.8100000000000005,0.9783037475345164,0.9487179487179488,0.02958579881656775,5.4054054054054,3.1185031185030887,NA,8/13/2026,2.06,4.1,4.64,5.05
DSC_013,20260616,MK+AG,AS,N/A,AG+MK,15.33,17.05,817,12:17,1104,12:30,12:30,12:30,47,12:33,151,12:36,15.4,17.46,NA,NA,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-F,30-50_cm,S2,tree,50,3,7.94,7.68,7.6,NA,4.94,4.68,4.6,0.9473684210526314,0.9311740890688258,0.0161943319838056,7.391304347826104,1.7391304347826104,NA,8/13/2026,1.96,3.9,5.58,5.57
DSC_018,20260616,MK,AS,MK,AG+MK,15.33,17.05,819,13:49,922,14:00,14:04,14:04,27,44,31,14:09,17.24,17.21,NA,Original gave times on 12-hour clock. Transcribing times in military time for clarity.,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-S,0-15_cm,S2,no_tree,15,2.92,8,7.69,7.59,NA,5.08,4.7700000000000005,4.67,0.938976377952756,0.9192913385826772,0.01968503937007892,8.779443254817991,2.1413276231263496,NA,8/13/2026,2.06,4.1,6.51,5.11
DSC_023,20260616,MK,VF,N/A,AG+MK,23.45,22.42,821,14:18,1012,14:29,14:35,14:35,23,54,93,14:38,23.34,27,NA,Original gave times on 12-hour clock. Transcribing times in military time for clarity.,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-H,15-30_cm,S3,tree,30,2.85,8,7.78,7.69,NA,5.15,4.93,4.84,0.957281553398058,0.9398058252427184,0.01747572815533971,6.404958677685961,1.8595041322314023,NA,8/13/2026,1.94,3.9,5.61,5.63
DSC_024,20260616,MK,AS,N/A,AG+MK,15.33,17.05,817,14:10,1070,14:27,14:32,14:32,53,64,108,14:58,15.36,21.79,NA,Original gave times on 12-hour clock. Transcribing times in military time for clarity.,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-H,30-50_cm,S3,tree,50,3.07,8,7.81,7.74,NA,4.93,4.74,4.67,0.9614604462474646,0.947261663286004,0.01419878296146048,5.5674518201284755,1.498929336188443,NA,8/13/2026,1.95,3.9,6.07,6.03
DSC_031,20260616,MK,VF,AS,AG+MK,15.33,17.05,816,14:58,930,15:06,15:07,15:07,34,48,26,15:10,17.25,20.14,NA,Original gave times on 12-hour clock. Transcribing times in military time for clarity.,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-U,0-15_cm,S3,no_tree,15,2.91,8,7.91,7.81,NA,5.09,5,4.8999999999999995,0.9823182711198428,0.962671905697446,0.01964636542239695,3.877551020408171,2.0408163265306234,NA,8/13/2026,2,4,5.37,5.4
DSC_092,20260616,CST,KN,N/A,AG,15.5,15.5,819,14:58,960,15:02,15:04,15:04,26,54,60,15:06,15.5,20,NA,NA,NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-U,15-30_cm,S3,no_tree,30,2.91,8,7.65,7.58,NA,5.09,4.74,4.67,0.9312377210216112,0.9174852652259332,0.01375245579567785,8.99357601713062,1.498929336188443,NA,8/13/2026,2.04,4.1,5.26,5.28
DSC_093,20260616,CST,EF,N/A,AG,15.78,15.62,819,14:58,1040,15:05,15:06,15:06,36,63,86,15:10,16,21,NA,NA,NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-U,30-50_cm,S3,no_tree,50,2.9,7.9,7.54,7.5,NA,5,4.640000000000001,4.6,0.9280000000000002,0.92,0.00800000000000023,8.695652173913052,0.8695652173913245,NA,8/13/2026,2,4,5.24,5.21
DSC_035,20260617,VF,AS,N/A,N/A,15.61,15.6,823,10:18,1022,10:34,10:37,10:37,40,59,88,10:42,14.75,24.82,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-M,15-30_cm,N1,tree,30,2.84,8,7.75,7.66,NA,5.16,4.91,4.82,0.9515503875968992,0.9341085271317828,0.01744186046511631,7.05394190871369,1.867219917012445,NA,8/13/2026,1.93,3.9,5.33,5.33
DSC_036,20260617,VF,MK,N/A,N/A,23.26,22.52,818,10:10,1114,10:32,10:39,10:39,40,64,156,10:44,26.35,28.5,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-M,30-50_cm,N1,tree,50,3,8,7.77,7.69,NA,5,4.77,4.69,0.954,0.938,0.0159999999999999,6.609808102345408,1.705756929637509,NA,8/13/2026,2,4,5.26,5.24
DSC_038,20260617,VF,AS,MK,N/A,15.61,15.6,824,13:51,992,14:00,14:01,14:01,42,58,64,14:04,17.31,20.27,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-Z,0-15_cm,N1,no_tree,15,2.83,8,7.77,7.67,NA,5.17,4.9399999999999995,4.84,0.955512572533849,0.9361702127659576,0.01934235976789156,6.81818181818182,2.0661157024793315,NA,8/13/2026,2,4,5.05,5.06
DSC_044,20260617,VF,AS,MK,N/A,N/A,N/A,824,14:45,857,14:57,15:01,N/A,47,10,14,15:09,N/A,N/A,NA,NA,NA,"""Samples for DSC_044 may have labels underneath for DSC_041 which we did not end up needing the sample kit because [the U-K O, assigned DSC_041 in the field 20260617 but redacted and destroyed in lab 20260620 - AG while transcribing] was mostly leaves""",20260617,N/A,N/A,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-01,O,N3,tree,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/13/2026,1.07,2.1,4.44,4.48
DSC_045,20260617,VF,MK,N/A,N/A,23.26,22.52,814,14:58,949,15:10,15:12,15:12,30,49,47,15:17,35,23,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-01,15-30_cm,N3,tree,30,2.91,7.93,7.49,7.4,NA,5.02,4.58,4.49,0.9123505976095618,0.8944223107569722,0.01792828685258962,11.804008908685953,2.0044543429844066,NA,8/13/2026,1.96,3.9,5.57,5.6
DSC_047,20260617,VF,AS,MK,N/A,15.61,15.6,824,15:41,988,15:50,15:51,15:51,36,54,66,15:55,17.05,15.54,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-02,0-15_cm,N3,no_tree,15,2.9,7.9,7.74,7.66,NA,5,4.84,4.76,0.968,0.952,0.01600000000000001,5.042016806722694,1.6806722689075646,NA,8/13/2026,1.96,3.9,5.4,5.56
DSC_094,20260617,KN,EF,N/A,N/A,N/A,N/A,830,9:59,900,N/A,10:08,10:15,10,11,27,10:17,N/A,N/A,NA,NA,NA,"""After sieving -> all remaining materialmoved to original bag and in 4C cooler. No Lroot or rock collected. Remainign material that passed through the sieve put in S_FM bag. <- Followed for all O samples""",20260617,N/A,N/A,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-M,O,N1,tree,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/13/2026,1.08,2.2,4.23,4.22
DSC_095,20260617,KN,CST,N/A,N/A,N/A,N/A,816,9:59,863,10:07,10:08,10:13,10,12,17,10:16,N/A,N/A,NA,NA,NA,Narritive note from DSC_094 applies,20260617,N/A,N/A,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-Z,O,N1,no_tree,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/13/2026,1.05,2.1,4.4,4.38
DSC_096,20260617,KN,CST,N/A,N/A,15.85,10.24,817,10:16,1023,10:25,10:25,10:25,23,50,42,10:28,16.7,97,Root and rock full masses written in opposite boxes on original copy but clearly marked with label annotations and arrows; data transcribed according to the annotated correction.,NA,NA,NA,20260617,KN,KN,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-M,0-15_cm,N1,tree,15,2.84,7.96,7.78,7.71,NA,5.12,4.94,4.87,0.96484375,0.951171875,0.01367187500000011,5.133470225872689,1.437371663244359,NA,8/13/2026,2,4,5.23,5.2
DSC_102,20260617,KN,EF,N/A,N/A,15.43,16.87,827,13:52,1052,14:02,14:03,14:03,25,62,126,14:06,15.45,29.4,NA,NA,NA,NA,20260617,KN,KN,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-Z,15-30_cm,N1,no_tree,30,2.93,8,7.81,7.76,NA,5.07,4.879999999999999,4.83,0.9625246548323468,0.9526627218934912,0.00986193293885573,4.968944099378887,1.0351966873705785,NA,8/13/2026,1.94,3.9,5.82,5.86
DSC_103,20260617,KN,CST,N/A,N/A,15.85,10.24,818,13:52,1143,14:00,14:03,14:03,38,61,194,14:05,not_recorded,not_recorded,NA,NA,NA,NA,20260617,KN,KN,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-Z,30-50_cm,N1,no_tree,50,2.83,7.93,7.66,7.48,* may have spilled oven-dry soil before weighing,5.1,4.83,4.65,0.9470588235294118,0.911764705882353,0.03529411764705881,9.677419354838694,3.8709677419354778,NA,8/13/2026,2,4,5.03,5.04
"""NOT COLLECTED (NO MATERIAL)""; ""[this note primarily refrences DSC_106, but relevant for 104 so I'm including here -AG] Kit used [for 106] was marked for 104 but no samples ended up being subsampled. If any are found labeled as 104 -- they belong with 106""",20260617,KN,EF,N/A,N/A,N/A,N/A,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,"""NOT COLLECTED (NO MATERIAL)""",NA,NA,"""NOT COLLECTED (NO MATERIAL)""; ""[this note primarily refrences DSC_106, but relevant for 104 so I'm including here -AG] Kit used [for 106] was marked for 104 but no samplesended up being subsampled. If any are found labeled as 104 -- they belong with 106""",20260617,not_recorded,not_recorded,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSC_105,20260617,KN,CST,N/A,N/A,N/A,N/A,818,13:18,844,13:28,13:28,N/A,8,10,N/A,13:31,N/A,N/A,NA,NA,NA,NA,20260617,N/A,N/A,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,NEWT,U-W,O,N2,no_tree,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/13/2026,1,2,4.91,4.91
