Sample_ID,Sampling_date,Site,Scribe_initials,Siever_1_initials,Siever_2_initials,Equip_mgr_initials,Lroot_empty_mass_g,rock_empty_mass_g,Core_ID,fraction,empty_sieve_mass_g,subsampling_start_time,total_wet_mass_w_sieve_g,all_ROOTS_freeze_time,RNA_A_freeze_time,RNA_B_and_C_freeze_time,S_DNA_mass_g,RESP_IS_mass_g,S_FM_mass_g,everything_cool_time,Lroot_full_mass_g,rock_full_mass_g,notes_during_collection_annotations,notes_during_transcription_AG,notes_during_transcription_EF,notes_during_collection_narritive,sieve_date,Lroot_photo_by,rock_photo_by,sieving_start_time,sieving_end_time,S_pH_mass_g,small_tin_mass_full_g,small_tin_mass_empty_g,large_tin_mass_full_g,all_set_to_dry_time,Animal_burrow_(Y/N),pre_trim_photo_by,post_trim_photo_by,removed_soil_mass_g,tube_length_cm,other_info_on_sample_tube (if present)
DSC_012,20260616,SOAP,MK+AG,VF,MK,AG+MK,23.45,22.42,B-F,0-15_cm,821,12:15,994,12:31,12:34,12:34,26,45,102,12:30,23.82,22.43,NA,NA,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_013,20260616,SOAP,MK+AG,AS,N/A,AG+MK,15.33,17.05,B-F,30-50_cm,817,12:17,1104,12:30,12:30,12:30,47,12:33,151,12:36,15.4,17.46,NA,NA,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_018,20260616,SOAP,MK,AS,MK,AG+MK,15.33,17.05,B-F,0-15_cm,819,13:49,922,14:00,14:04,14:04,27,44,31,14:09,17.24,17.21,NA,Original gave times on 12-hour clock. Transcribing times in military time for clarity.,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_023,20260616,SOAP,MK,VF,N/A,AG+MK,23.45,22.42,B-H,15-30_cm,821,14:18,1012,14:29,14:35,14:35,23,54,93,14:38,23.34,27,NA,Original gave times on 12-hour clock. Transcribing times in military time for clarity.,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_024,20260616,SOAP,MK,AS,N/A,AG+MK,15.33,17.05,B-U,0-15_cm,817,14:10,1070,14:27,14:32,14:32,53,64,108,14:58,15.36,21.79,NA,Original gave times on 12-hour clock. Transcribing times in military time for clarity.,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_031,20260616,SOAP,MK,VF,AS,AG+MK,15.33,17.05,B-U,0-15_cm,816,14:58,930,15:06,15:07,15:07,34,48,26,15:10,17.25,20.14,NA,Original gave times on 12-hour clock. Transcribing times in military time for clarity.,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_092,20260616,SOAP,CST,KN,N/A,AG,15.5,15.5,B-U,15-30_cm,819,14:58,960,15:02,15:04,15:04,26,54,60,15:06,15.5,20,NA,NA,NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_093,20260616,SOAP,CST,EF,N/A,AG,15.78,15.62,B-U,30-50_cm,819,14:58,1040,15:05,15:06,15:06,36,63,86,15:10,16,21,NA,NA,NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_035,20260617,NEWT,VF,AS,N/A,N/A,15.61,15.6,U-M,15-30_cm,823,10:18,1022,10:34,10:37,10:37,40,59,88,10:42,14.75,24.82,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_036,20260617,NEWT,VF,MK,N/A,N/A,23.26,22.52,U-M,30-50_cm,818,10:10,1114,10:32,10:39,10:39,40,64,156,10:44,26.35,28.5,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_038,20260617,NEWT,VF,AS,MK,N/A,15.61,15.6,U-Z,0-15_cm,824,13:51,992,14:00,14:01,14:01,42,58,64,14:04,17.31,20.27,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_044,20260617,NEWT,VF,AS,MK,N/A,N/A,N/A,U-01,O,824,14:45,857,14:57,15:01,N/A,47,10,14,15:09,N/A,N/A,NA,NA,NA,"""Samples for DSC_044 may have labels underneath for DSC_041 which we did not end up needing the sample kit because [the U-K O, assigned DSC_041 in the field 20260617 but redacted and destroyed in lab 20260620 - AG while transcribing] was mostly leaves""",20260617,N/A,N/A,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_045,20260617,NEWT,VF,MK,N/A,N/A,23.26,22.52,U-01,15-30_cm,814,14:58,949,15:10,15:12,15:12,30,49,47,15:17,35,23,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_047,20260617,NEWT,VF,AS,MK,N/A,15.61,15.6,U-02,0-15_cm,824,15:41,988,15:50,15:51,15:51,36,54,66,15:55,17.05,15.54,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_094,20260617,NEWT,KN,EF,N/A,N/A,N/A,N/A,U-M,O,830,9:59,900,N/A,10:08,10:15,10,11,27,10:17,N/A,N/A,NA,NA,NA,"""After sieving -> all remaining materialmoved to original bag and in 4C cooler. No Lroot or rock collected. Remainign material that passed through the sieve put in S_FM bag. <- Followed for all O samples""",20260617,N/A,N/A,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_095,20260617,NEWT,KN,CST,N/A,N/A,N/A,N/A,U-Z,O,816,9:59,863,10:07,10:08,10:13,10,12,17,10:16,N/A,N/A,NA,NA,NA,Narritive note from DSC_094 applies,20260617,N/A,N/A,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_096,20260617,NEWT,KN,CST,N/A,N/A,15.85,10.24,U-M,0-15_cm,817,10:16,1023,10:25,10:25,10:25,23,50,42,10:28,16.7,97,Root and rock full masses written in opposite boxes on original copy but clearly marked with label annotations and arrows; data transcribed according to the annotated correction.,NA,NA,NA,20260617,KN,KN,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_102,20260617,NEWT,KN,EF,N/A,N/A,15.43,16.87,U-Z,15-30_cm,827,13:52,1052,14:02,14:03,14:03,25,62,126,14:06,15.45,29.4,NA,NA,NA,NA,20260617,KN,KN,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_103,20260617,NEWT,KN,CST,N/A,N/A,15.85,10.24,U-Z,30-50_cm,818,13:52,1143,14:00,14:03,14:03,38,61,194,14:05,not_recorded,not_recorded,NA,NA,NA,NA,20260617,KN,KN,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
"""NOT COLLECTED (NO MATERIAL)""; ""[this note primarily refrences DSC_106, but relevant for 104 so I'm including here -AG] Kit used [for 106] was marked for 104 but no samples ended up being subsampled. If any are found labeled as 104 -- they belong with 106""",20260617,NEWT,KN,EF,N/A,N/A,N/A,N/A,U-J,O,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,"""NOT COLLECTED (NO MATERIAL)""",NA,NA,"""NOT COLLECTED (NO MATERIAL)""; ""[this note primarily refrences DSC_106, but relevant for 104 so I'm including here -AG] Kit used [for 106] was marked for 104 but no samplesended up being subsampled. If any are found labeled as 104 -- they belong with 106""",20260617,not_recorded,not_recorded,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_105,20260617,NEWT,KN,CST,N/A,N/A,N/A,N/A,U-W,O,818,13:18,844,13:28,13:28,N/A,8,10,N/A,13:31,N/A,N/A,NA,NA,NA,NA,20260617,N/A,N/A,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_106,20260617,NEWT,KN,CST,N/A,N/A,N/A,10.24,U-02,O,818,14:45,1059,15:00,15:01,15:01,12,10,98,15:04,N/A,104.28,NA,NA,NA,"""Kit used was marked for 104 but no samplesended up being subsampled. If any are found labeled as 104 -- they belong with 106""",20260617,KN,KN,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_107,20260617,NEWT,KN,EF,N/A,N/A,15.43,16.87,U-01,0-15_cm,827,14:57,980,15:06,15:08,15:08,29,50,62,15:12,165,25.9,NA,NA,NA,NA,20260617,KN,KN,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_046,20260617,NEWT,KN,CST,N/A,N/A,15.85,10.24,U-01,30-50_cm,819,15:08,1069,15:14,15:14,15:14,33,51,141,15:16,25.3,13.6,NA,NA,NA,NA,20260617,KN,KN,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_108,20260617,NEWT,KW,EF,N/A,N/A,15.43,16.87,U-02,15-30,829,15:41,1009,15:52,15:54,15:53,30.53,53.25,73,15:57,15.67,34.67,NA,NA,NA,NA,20260617,EF,EF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_109,20260617,NEWT,KW,CST,N/A,N/A,15.85,10.24,U-02,30-50,819,15:41,1082,15:50,15:50,15:50,41,58,146,15:54,16.19,13.6,KL written next to U-02 on core ID,NA,NA,NA,20260617,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_110,20260617,NEWT,AG,CST,N/A,N/A,15.85,10.24,U-J,15-30,819,16:09,1053,16:19,16:20,16:20,41,54,119,16:23,15.79,23.45,(none) written in parenthesis in Lroot mass bu not crossed out.,NA,NA,NA,20260617,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_111,20260617,NEWT,AG,EF,N/A,N/A,15.43,16.87,U-J,30-50,830,16:09,1198,16:21,16:24,29.1,NA,63.08,148,16:27,15.36,112.14,"Roots-H might be W, no L-rock",NA,Abnormal L-rock mass likely do to evaporation of ethanol left on container after cleaning; notes referencing 011 are actually refrencing 111,"Only one root collected, unsure if its woody or herbaceous. Evan thought H but not sure",20260617,EF,EF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_112,20260617,NEWT,AG,CST,N/A,N/A,15.85,10.24,U-W,0-15,819,not_recorded,1031,16:40,16:40,not_recorded,53,37,16:43,16:43,17.34,69.11,Start time not noted until after 16:27,NA,notes referancing 012 is actualy for 112,"root in ROOTS-H attached to a peice of decomposing wood but roots are fine and do not appear to be related. Some roots atached to rock, rock mass may be slightly under estimated.",20260617,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_048,20260617,NEWT,VF,AS,N/A,N/A,15.61,15.6,U-J,0-15,820,16:08,1033,16:16,16:18,16:18,41,54,95,not_recorded,16.69,35.95,U-02 corrected to U-J by AG 20260620,NA,NA,Empteid LRoot+Rock container before a photo could be taken. Everything cool time not recorded,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_052,20260617,NEWT,VF,MK,N/A,N/A,23.26,22.52,U-W,15-30,823,16:29,1025,16:48,16:45,16:45,33,58,83,16:50,N/A,39.72,NA,NA,NA,L Root mass never recorded,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_053,20260617,NEWT,VF,AS,N/A,N/A,15.61,15.6,U-W,30-50,822,16:29,1126,16:41,16:45,16:45,39,60,176,16:46,16.52,17.55,NA,NA,NA,NA,20260617,VF,VF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_026,fill_in_from_core_data_later,fill_in_from_core_data_later,AG,GDB,EF,NA_to_YZ_samples,15.93,9.71,fill_in_from_core_data_later,NA,822,13:02,1504,14:07,NA_to_YZ_samples,NA_to_YZ_samples,46.92,59.42,NA_to_YZ_samples,14:12,N/A,14.27,included_in_narritive_for_YZ_samples,NA_to_YZ_samples,NA,"""*Spilled small tin at 18:00, unable to recover so we subsampled 55.4 g of soil from the large pie tin. To account for moisture, the large pie tin went from 533g to 528g. ; color change @ 22cm from top ; sieving - split into 2 sizes, Ef + GB after GB started ; soil aggregates often with textured surfaces looking like ectomycorrhiza tips, but they crumble to the touch. EF and GB think they are mineral formations""",20260619,N/A,GB,no_data,no_data,11.22,55.45*,3,533*,14:16,N,GB,EF,47,34.2,N/A
